0,1,2
3059113.0,1055687.0,1
3455987.0,1296987.0,1
7643813.0,376238.0,1
7643813.0,190501.0,1
7456488.0,163512.0,1
7530307.0,163512.0,5
7459663.0,347663.0,1
7459663.0,347663.0,1
4765675.0,689689.0,1
2862263.0,689689.0,1
174625.0,689689.0,1
119062.0,6450012.0,1
100011.0,4464050.0,1
100011.0,2889250.0,1
174625.0,4694237.0,25
1252537.0,4694237.0,1
100011.0,2889250.0,1
174625.0,2916238.0,1
3030538.0,4464050.0,1
3030538.0,2889250.0,1
3030538.0,2889250.0,1
5929312.0,4464050.0,1
5929312.0,2889250.0,1
5929312.0,2889250.0,1
3065463.0,2916238.0,1
5992812.0,2916238.0,1
5989637.0,4694237.0,25
3130550.0,4694237.0,25
1489075.0,5819775.0,1
2592388.0,5537200.0,1
2797175.0,2901950.0,1
2871788.0,2901950.0,5
5686425.0,2901950.0,1
5761037.0,2901950.0,5
100011.0,4468812.0,1
174625.0,4495800.0,1
3030538.0,4468812.0,1
5929312.0,4468812.0,1
3065463.0,4495800.0,1
5992812.0,4495800.0,1
2797175.0,4479925.0,1
2871788.0,4479925.0,5
5686425.0,4479925.0,1
5686425.0,4479925.0,5
8574088.0,2901950.0,1
8648700.0,2901950.0,5
8574088.0,4481512.0,1
8648700.0,4481512.0,5
723900.0,4071937.0,1
271463.0,4071937.0,1
3670300.0,4092575.0,1
3217863.0,4092575.0,1
3678237.0,3776662.0,1
3225800.0,3786187.0,1
4306887.0,3676650.0,1
7207250.0,3676650.0,1
6542088.0,4076700.0,1
6089650.0,4076700.0,1
5019675.0,3505200.0,1
4843462.0,3797300.0,1
5446712.0,3505200.0,1
5367337.0,4071937.0,1
4843462.0,3625850.0,1
5418137.0,3627437.0,1
8228013.0,3859212.0,9
7934325.0,3508375.0,1
7758113.0,3797300.0,1
7758113.0,3625850.0,1
8332788.0,3717925.0,1
8281988.0,4083050.0,1
8361363.0,3508375.0,1
8332788.0,3875087.0,1
2344738.0,3859212.0,9
1874838.0,3625850.0,1
2379663.0,4097337.0,1
2459038.0,3508375.0,1
2430463.0,3889375.0,1
2430463.0,3732212.0,1
1874838.0,3797300.0,1
2051050.0,3508375.0,1
1390650.0,3676650.0,1
1368425.0,3234160.0,1
1362075.0,3386137.0,9
1814511.0,3063418.0,1
1814511.0,3386137.0,9
163512.0,3129614.0,1
163512.0,3386137.0,9
4284662.0,3226223.0,1
4278312.0,3386137.0,9
4730750.0,3061346.0,1
4730750.0,3386137.0,9
3079750.0,3129614.0,1
3079750.0,3386137.0,9
7183438.0,3226223.0,1
7177086.0,3386137.0,9
7629525.0,3050713.0,1
7629525.0,3386137.0,9
5978525.0,3129614.0,1
5978525.0,3386137.0,9
1252537.0,5099050.0,9
4133850.0,5954712.0,1
5111750.0,5402262.0,1
4119562.0,4694237.0,1
4119562.0,5099050.0,9
8039100.0,1687513.0,1
7181850.0,1687513.0,1
6889750.0,1398587.0,1
7181850.0,2051050.0,1
8029575.0,2279650.0,1
8029575.0,2478088.0,1
8039100.0,2051050.0,1
7181850.0,2279650.0,1
7181850.0,2478088.0,1
4732337.0,1968500.0,9
5962650.0,1325562.0,1
4732337.0,873125.0,1
4732337.0,2051050.0,1
5996385.0,1004490.0,1
6475017.0,1012428.0,1
6275785.0,1569641.0,1
6316662.0,1912938.0,1
6637338.0,2203450.0,1
6316662.0,2354263.0,1
7210425.0,1743075.0,1
7148910.0,2415777.0,1
8068468.0,1743075.0,1
7996635.0,2415777.0,1
6672261.0,1427162.0,1
6889750.0,1312862.0,1
5453062.0,873125.0,1
6410325.0,873125.0,1
5995987.0,1611312.0,1
6889750.0,2052638.0,1
7737475.0,2052638.0,1
5772150.0,2489200.0,1
